品牌,能效等级,SSD,厚度,机身材质,屏幕尺寸,刷新率,覆盖对数
ThinkPad,一级,3TB,20.0mm以上,复合材质,15.0-15.9英寸,90Hz,35
ThinkPad,三级,128GB,20.0mm以上,金属,14.0-14.9英寸,165Hz,35
华为,二级,256GB+1TB,15.0mm及以下,金属+复合材质,13.0英寸以下,165Hz,35
HONOR,二级,512GB+2TB,20.0mm以上,金属,13.0英寸以下,60Hz,35
hp,一级,512GB+2TB,18.1-20.0mm,金属+复合材质,14.0-14.9英寸,60Hz,35
Lenovo,三级,3TB*2,15.1-18.0mm,含碳纤维,13.0英寸以下,60Hz,35
MI,二级,3TB*2,20.0mm以上,含碳纤维,15.0-15.9英寸,144Hz,35
Apple,一级,3TB*2,18.1-20.0mm,含碳纤维,16.0-16.9英寸,90Hz,35
DELL,三级,3TB,15.0mm及以下,金属,15.0-15.9英寸,144Hz,35
Lenovo,一级,512GB+2TB,15.1-18.0mm,金属,16.0-16.9英寸,120Hz,35
hp,三级,256GB+1TB,15.0mm及以下,复合材质,14.0-14.9英寸,90Hz,35
ASUS,二级,128GB,18.1-20.0mm,含碳纤维,13.0-13.9英寸,60Hz,35
DELL,二级,256GB+1TB,15.1-18.0mm,含碳纤维,14.0-14.9英寸,120Hz,35
Apple,三级,512GB+2TB,18.1-20.0mm,复合材质,13.0英寸以下,144Hz,35
HONOR,三级,3TB*2,18.1-20.0mm,金属+复合材质,15.0-15.9英寸,120Hz,35
MI,一级,3TB,15.0mm及以下,金属+复合材质,16.0-16.9英寸,60Hz,34
ASUS,一级,3TB*2,15.0mm及以下,金属,13.0-13.9英寸,165Hz,35
ASUS,二级,512GB+2TB,15.1-18.0mm,金属+复合材质,16.0-16.9英寸,90Hz,34
Lenovo,二级,256GB+1TB,20.0mm以上,复合材质,13.0-13.9英寸,165Hz,34
MI,一级,128GB,15.1-18.0mm,金属+复合材质,13.0-13.9英寸,90Hz,33
hp,二级,128GB,18.1-20.0mm,复合材质,15.0-15.9英寸,120Hz,33
ThinkPad,三级,512GB+2TB,15.0mm及以下,金属+复合材质,13.0-13.9英寸,60Hz,33
ASUS,三级,3TB,20.0mm以上,金属+复合材质,13.0英寸以下,120Hz,34
Apple,一级,128GB,15.0mm及以下,含碳纤维,14.0-14.9英寸,144Hz,34
ThinkPad,三级,3TB,15.1-18.0mm,复合材质,16.0-16.9英寸,165Hz,33
hp,一级,256GB+1TB,20.0mm以上,金属,13.0英寸以下,144Hz,34
华为,二级,128GB,18.1-20.0mm,金属,14.0-14.9英寸,90Hz,33
HONOR,三级,256GB+1TB,15.1-18.0mm,金属+复合材质,16.0-16.9英寸,144Hz,32
HONOR,一级,512GB+2TB,15.0mm及以下,含碳纤维,13.0英寸以下,120Hz,32
hp,一级,3TB*2,15.1-18.0mm,复合材质,14.0-14.9英寸,144Hz,31
Apple,一级,256GB+1TB,15.1-18.0mm,含碳纤维,15.0-15.9英寸,165Hz,33
Apple,二级,3TB,15.0mm及以下,含碳纤维,13.0-13.9英寸,90Hz,32
ASUS,三级,256GB+1TB,18.1-20.0mm,金属,16.0-16.9英寸,60Hz,33
华为,三级,128GB,15.1-18.0mm,复合材质,15.0-15.9英寸,60Hz,32
Apple,一级,256GB+1TB,20.0mm以上,金属+复合材质,13.0-13.9英寸,120Hz,30
DELL,二级,3TB*2,18.1-20.0mm,金属,16.0-16.9英寸,165Hz,31
hp,二级,3TB,18.1-20.0mm,金属+复合材质,13.0-13.9英寸,144Hz,31
HONOR,二级,3TB*2,15.0mm及以下,复合材质,16.0-16.9英寸,90Hz,30
华为,一级,3TB,20.0mm以上,含碳纤维,14.0-14.9英寸,60Hz,31
Lenovo,二级,128GB,15.0mm及以下,金属+复合材质,14.0-14.9英寸,120Hz,30
hp,三级,512GB+2TB,15.0mm及以下,含碳纤维,16.0-16.9英寸,165Hz,31
MI,三级,512GB+2TB,20.0mm以上,金属,15.0-15.9英寸,90Hz,30
DELL,二级,128GB,20.0mm以上,金属+复合材质,13.0英寸以下,144Hz,28
DELL,一级,512GB+2TB,18.1-20.0mm,复合材质,13.0-13.9英寸,120Hz,30
Apple,三级,3TB*2,15.1-18.0mm,金属,13.0英寸以下,120Hz,27
MI,一级,256GB+1TB,18.1-20.0mm,金属+复合材质,15.0-15.9英寸,165Hz,26
HONOR,一级,3TB,18.1-20.0mm,复合材质,13.0英寸以下,165Hz,29
Lenovo,二级,3TB,15.1-18.0mm,金属,15.0-15.9英寸,90Hz,28
HONOR,三级,128GB,20.0mm以上,含碳纤维,13.0-13.9英寸,90Hz,30
Lenovo,三级,3TB,18.1-20.0mm,复合材质,14.0-14.9英寸,60Hz,26
DELL,二级,3TB*2,15.1-18.0mm,金属+复合材质,13.0-13.9英寸,60Hz,26
Lenovo,二级,3TB,20.0mm以上,含碳纤维,16.0-16.9英寸,144Hz,26
ThinkPad,二级,256GB+1TB,15.1-18.0mm,复合材质,13.0英寸以下,90Hz,27
ThinkPad,二级,512GB+2TB,15.0mm及以下,金属,15.0-15.9英寸,120Hz,26
MI,二级,512GB+2TB,15.0mm及以下,复合材质,14.0-14.9英寸,144Hz,27
MI,三级,128GB,18.1-20.0mm,含碳纤维,16.0-16.9英寸,120Hz,28
ThinkPad,一级,3TB*2,18.1-20.0mm,金属,15.0-15.9英寸,60Hz,26
Lenovo,三级,128GB,15.0mm及以下,金属,13.0英寸以下,165Hz,24
华为,一级,128GB,20.0mm以上,复合材质,16.0-16.9英寸,60Hz,25
DELL,三级,3TB,15.1-18.0mm,金属+复合材质,14.0-14.9英寸,90Hz,25
华为,三级,512GB+2TB,18.1-20.0mm,金属,13.0-13.9英寸,165Hz,25
MI,二级,256GB+1TB,15.1-18.0mm,金属,14.0-14.9英寸,60Hz,25
HONOR,一级,3TB*2,20.0mm以上,金属+复合材质,14.0-14.9英寸,90Hz,24
Lenovo,一级,256GB+1TB,15.0mm及以下,复合材质,15.0-15.9英寸,144Hz,26
ASUS,一级,3TB,15.1-18.0mm,含碳纤维,13.0-13.9英寸,120Hz,24
Apple,二级,128GB,20.0mm以上,金属+复合材质,16.0-16.9英寸,165Hz,23
ASUS,三级,128GB,15.1-18.0mm,复合材质,13.0-13.9英寸,144Hz,24
华为,二级,3TB*2,20.0mm以上,复合材质,13.0英寸以下,120Hz,25
ThinkPad,二级,128GB,18.1-20.0mm,含碳纤维,13.0英寸以下,165Hz,23
DELL,一级,512GB+2TB,20.0mm以上,含碳纤维,15.0-15.9英寸,165Hz,24
华为,三级,256GB+1TB,20.0mm以上,含碳纤维,15.0-15.9英寸,144Hz,22
DELL,三级,3TB*2,15.0mm及以下,含碳纤维,13.0-13.9英寸,120Hz,21
ASUS,一级,256GB+1TB,20.0mm以上,金属+复合材质,14.0-14.9英寸,144Hz,21
华为,一级,3TB,15.0mm及以下,金属,13.0英寸以下,90Hz,22
hp,三级,3TB,20.0mm以上,金属,13.0-13.9英寸,60Hz,23
华为,一级,512GB+2TB,18.1-20.0mm,金属+复合材质,15.0-15.9英寸,144Hz,21
MI,三级,3TB*2,15.0mm及以下,复合材质,13.0英寸以下,165Hz,21
ThinkPad,二级,256GB+1TB,20.0mm以上,含碳纤维,16.0-16.9英寸,60Hz,20
ThinkPad,三级,3TB,18.1-20.0mm,含碳纤维,14.0-14.9英寸,120Hz,20
Lenovo,二级,256GB+1TB,18.1-20.0mm,金属+复合材质,15.0-15.9英寸,90Hz,18
Apple,三级,512GB+2TB,15.1-18.0mm,金属+复合材质,14.0-14.9英寸,165Hz,21
ASUS,一级,3TB*2,18.1-20.0mm,复合材质,13.0英寸以下,90Hz,20
hp,一级,128GB,15.0mm及以下,复合材质,13.0英寸以下,60Hz,19
HONOR,一级,128GB,18.1-20.0mm,金属,15.0-15.9英寸,144Hz,21
DELL,一级,256GB+1TB,15.0mm及以下,金属,16.0-16.9英寸,60Hz,20
DELL,三级,256GB+1TB,20.0mm以上,复合材质,16.0-16.9英寸,120Hz,20
MI,三级,512GB+2TB,15.1-18.0mm,含碳纤维,13.0-13.9英寸,144Hz,18
ASUS,二级,3TB*2,15.0mm及以下,金属,14.0-14.9英寸,144Hz,19
hp,二级,512GB+2TB,15.1-18.0mm,含碳纤维,13.0英寸以下,90Hz,20
Apple,二级,3TB*2,15.0mm及以下,复合材质,15.0-15.9英寸,60Hz,22
HONOR,三级,256GB+1TB,15.1-18.0mm,金属,13.0-13.9英寸,165Hz,19
MI,一级,3TB,20.0mm以上,金属,14.0-14.9英寸,120Hz,19
华为,三级,3TB*2,15.1-18.0mm,金属,16.0-16.9英寸,144Hz,18
ASUS,二级,3TB,15.0mm及以下,含碳纤维,14.0-14.9英寸,165Hz,18
华为,三级,128GB,15.0mm及以下,金属+复合材质,15.0-15.9英寸,90Hz,16
